"","WT.Mock.1","WT.Mock.2","WT.Mock.3","WT.IAV.1","WT.IAV.2","WT.IAV.3","KO.Mock.1","KO.Mock.2","KO.Mock.3","KO.IAV.1","KO.IAV.2","KO.IAV.3"
"CDH2",7.3759775192039,7.3950562111579,7.42576768450657,6.91915126336492,6.9516293497004,7.26577164273044,8.39941133666309,8.32955811493821,8.71370846827169,8.55589367996408,8.63294053979057,8.47507720936626
"GTF2IP4",9.51068893795266,9.72788469611316,9.76120673382745,9.13839849828553,9.03513330568218,9.3617934688805,10.4363911635544,10.3867306559715,10.6887688395028,10.3748104213729,10.2157264997092,10.2741320364281
"LINC02035",6.47812058556476,6.22560743734461,6.51361428915832,5.05260977073753,5.15368418106563,5.74603948339495,6.67188306150017,6.65398505124174,6.88097566288967,6.40336221183408,6.32631180478926,6.07942093260522
"PAXIP1-AS2",5.83406894557602,5.84160425467744,5.78060424433484,6.33044291485963,6.396687549613,6.51819209690847,6.10881181981488,5.9934233854966,6.17327906878056,7.24478492617931,7.29711779906289,7.05852320168313
"BABAM2-AS1",4.29793312333343,4.35518238778601,4.82801386677911,5.16218341038999,5.47876627499978,6.14721967328975,4.38616610962387,4.21985293543644,3.83237360600845,3.67482258445115,4.10742212395966,3.76051390624122
"CDH6",4.87322043180381,4.75811406658973,4.68653820920583,4.88111748552911,4.88677143000987,4.59225091307506,5.7728038185576,5.56123835149843,5.9083812875775,5.8917947266408,6.08892519569019,5.92126247282826
"LINC02582",9.51472369969998,9.67516808596844,9.75347209425844,9.25184379858543,8.99303771454704,9.39263350056467,5.33869167663795,5.47945578447192,5.097615849485,5.3955753307965,5.10149923349364,5.37907405295931
"PSMB8-AS1",5.69346267059843,5.65317776924366,5.66384979230864,6.5868593670052,6.61845468422247,6.75939343204063,5.38165972437198,5.65989171792284,5.45991363103238,7.09882928675954,7.19533611150003,6.91352047693148
"SOX21-AS1",5.29175594751182,5.2687789492372,5.56962513704229,5.26622550207608,5.72465480321086,5.27106867339405,6.18287329215412,6.41620702564647,6.71427988371901,6.4035077248729,6.70547930201209,6.12421433239502
"MIR4500",3.5759382502608,3.25659951994976,3.95515423208817,3.16872473280732,3.91282175415139,3.66855647736351,4.79536352004627,4.76108854805953,4.4291797261216,4.48748759168784,4.4421848371651,4.06596803920678
"MIR4712",3.40888687298725,3.80073854198896,3.94411134469599,3.24115823331775,3.29551751393774,3.95537964519771,4.67365636592195,4.16187742821484,5.1021563455057,4.29269843397694,4.68724053859753,4.52715657812498
"MIR4521",6.96724013217354,6.7965579811356,7.13225305260616,8.18685282922966,8.13635253516801,8.62883468192834,6.3850085710632,6.10860817462979,6.53036872799125,7.73330028810261,7.73751406336726,7.41942686444245
"OPTN",7.84565435631192,7.84866643934513,7.90434546377294,8.5218887680615,8.48311788698061,8.74194185371925,7.57245888763205,7.48218852072609,7.77664177667817,8.95936659974973,9.01212767951512,8.85650079325132
"CHROMR",6.00661922093031,6.11701939536771,6.18324038216262,7.04536109737875,7.03660434266517,7.42242668165653,6.00283264716003,5.9508378513627,6.04350171680727,7.36230273472535,7.36320934093792,7.13648886228295
"CALCRL",3.33181483939939,3.32582726637985,3.40474688225683,3.47806306556454,3.61064028766283,3.44118533111405,5.62279449301807,5.40296998731913,6.02213907159413,5.32307403752385,5.30859450856241,4.98624002953288
"ADAR",8.99503342492802,9.02125704332551,9.07286329239128,10.0928364556749,10.0552583782175,10.2152390016264,9.04547103210856,8.94034937910394,9.20876587888792,10.4541630358586,10.4642306236313,10.3670568722681
"BTN3A3",5.67511091004477,5.48072669926195,5.48165043562219,6.28460131723886,6.36087082930642,6.49079234830647,5.50107105515438,5.43682807074288,5.46153544445798,6.75532033452879,6.80994955593843,6.60560202686046
"IFITM3",7.16656997128656,7.162790321112,7.30756886491338,9.8994614585786,9.91460504355376,10.0239799112195,8.04567305929928,7.97942078521736,7.97466918454307,10.4285124036224,10.5461040041333,10.3832740402187
"IFI30",8.38156993637244,8.09083691273517,8.24863321961918,9.74986457575628,9.75746293349131,9.9030863229933,8.74555391354813,8.80540994935027,9.1136968037957,9.95157131022483,9.96031925720399,9.8353329113999
"FST",6.7330189017434,6.6269326158794,6.69775843676759,7.7885159894989,7.69768851034544,8.03030549127051,6.60613806388037,6.36870448426391,6.50806768133055,7.42255441767009,7.39536993307315,7.22706170869369
"TRIM38",6.83605097851297,6.74208058584257,6.85641930341316,8.85979184636108,8.91360925102969,9.09983994598544,6.64210416394363,6.62597162354855,6.83017969493647,9.11227382613737,9.21493717563713,8.96443627934073
"AGR2",3.91969966254742,3.99476896562937,4.18406991464195,4.16536968175103,4.11365425272041,4.06435743486099,6.55408943740713,6.35132900497425,6.68007975633369,7.30154192186418,7.34639310709771,6.90614345375667
"IFI44",3.61743351979726,3.68312119933758,3.73724910188908,6.58332546616809,6.58080789258711,7.13913989805681,3.57194035079125,3.53930877089644,3.54296016806512,7.41663848701411,7.38102431899176,7.13023649445965
"IFITM2",7.98838875772162,7.94587472073523,7.98314084367705,11.0466617496155,11.1222173294815,11.2407407944509,9.18168638174826,9.15042595133111,9.32374071240011,11.7395632796674,11.7654034644107,11.7368126004758
"TNFSF13B",4.77394297014133,4.85573412262571,4.8400124673846,6.12519812205583,6.15717285452791,6.25509501675397,4.788750318798,4.84266386338994,4.73038624214218,5.88622658042641,5.88766750419769,5.71700065141766
"CHL1",5.09224167974076,5.14962949823001,5.26821126772659,5.05447495018335,5.1881585195455,5.2044969364242,6.20954992670018,6.11777489566063,6.47152932404025,6.34887909872726,6.43807995333454,6.23268431937582
"IQGAP2",5.91797246383656,6.00897676420161,6.0283072497195,6.19700396216578,6.27892990903087,6.51200733394959,7.99525320106082,7.91499149248759,8.30884061351478,8.50280251482409,8.4614065828143,8.38367908501869
"TRAFD1",7.53480231083291,7.51398760805271,7.60331576599709,8.49772594650804,8.50315191427427,8.7042216892277,7.55298741196026,7.46665566892401,7.65729594378721,9.01401951286446,9.01071862915182,8.86259118024288
"IFI44L",3.41682379223817,3.33043414764071,3.27114957357558,6.00485313633179,6.11054069148017,6.49386004863876,3.4314971744385,3.49310431121983,3.45646137087495,6.929004114731,6.91605351573776,6.70555947416669
"SLC27A2",7.98511455463302,8.00044601070485,8.00718318294891,7.42670225747883,7.52952988248503,7.85267780191049,8.98829023525824,8.88478221046788,9.25319173698173,9.07951054549298,9.03308956443503,8.91392523094937
"BTN3A2",6.72443886650427,6.46777175540757,6.58961393722792,7.32739439525874,7.2831899691982,7.61110348023126,6.56013586419057,6.63083258566091,6.74500947949139,7.84798648999175,7.79856731273594,7.74157631978037
"BTN3A1",6.72277259550196,6.75453706524435,6.81762825507823,7.75932619980861,7.84316595472884,7.96322430021792,6.74971654714932,6.72008272123227,6.86208215286152,8.44524746288741,8.50499847936716,8.39701999129115
"BAZ1A",8.07264209808663,8.12148407372833,8.19170810368143,9.17726021091181,9.11174074774102,9.45985430382368,8.44108723015215,8.22616977828632,8.62509554707732,9.64156056716982,9.59873600003528,9.57243259855157
"USP18",7.35233731301027,7.18877070791,7.34884297336558,10.020345533701,10.0668521964325,10.2579934388519,7.45866019337317,7.28096351811662,7.57181922061263,10.5186088968249,10.5498172026579,10.3957291009052
"RAB42",7.42905713165263,7.3349334174673,7.41182326605981,7.72619246741216,7.86170407955916,7.8063581971788,6.65926658279869,7.03249672988607,6.48731874586718,6.75774875758701,6.71175086236016,6.90720987690603
"GBP4",4.44760454040521,4.53697459750836,4.45572992545823,6.67093839687884,6.91327443151596,7.35870253608852,4.49318043409373,4.36767908229733,4.35664717058327,6.61641069641948,6.55037387686528,6.40333900126422
"NOSTRIN",5.50878192427799,5.50937354415878,5.46533442556486,5.53992761967397,5.46826291948739,5.74700060009188,7.42889827971299,7.24362923109802,7.64089394942174,7.53888891505079,7.40030608882154,7.3259312536265
"TM4SF19",7.41104857227318,7.14345854580378,7.39950824640675,7.37988833952987,7.31736159596886,7.50362216529004,6.44867256174885,6.5797782481198,6.60920662987564,6.46756940912792,6.43131735443132,6.29564238051577
"NIBAN1",6.21780793191251,6.19278398489153,6.2269828432628,6.36736221356671,6.44561477998962,6.82022386669848,5.24069798159089,5.10576264398806,5.27700888353956,5.28685877261038,5.42733533559488,5.17340472527203
"LRRK2",5.63162855753689,5.42744310602215,5.57858262909299,5.02549584917033,4.91515346998773,5.20439762472196,6.87023779090251,6.70998378606109,7.14584572907003,6.62084200107448,6.63849324557833,6.40157092879627
