"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-909733","Interferon alpha/beta signaling","40/1288","69/10616",9.09670972644339e-20,1.2044043677811e-16,1.0245767797152e-16,"IFI6/OAS2/OASL/IFIT1/IFITM2/IFIT2/IFITM3/RSAD2/IFI35/OAS1/OAS3/USP18/IFI27/STAT2/HLA-B/HLA-E/IFITM1/SAMHD1/IFIT3/HLA-C/STAT1/XAF1/HLA-F/HLA-A/HLA-G/EGR1/PSMB8/IRF1/ADAR/BST2/IFNB1/IRF7/IRF2/ISG15/MX1/ISG20/GBP2/IFNA13/SOCS1/RNASEL",40
"R-HSA-913531","Interferon Signaling","73/1288","199/10616",1.86498692428238e-19,1.23462134387493e-16,1.0502821099906e-16,"IFI6/OAS2/OASL/IFIT1/IFITM2/HERC5/IFIT2/DDX58/IFITM3/RSAD2/IFI35/OAS1/OAS3/USP18/IFI27/B2M/STAT2/HLA-B/HLA-E/TRIM21/IFITM1/SP100/SAMHD1/TRIM38/IFIT3/HLA-C/TRIM14/STAT1/XAF1/HLA-F/HLA-A/GBP4/TRIM5/HLA-G/GBP3/EGR1/GBP1/MT2A/PSMB8/UBE2L6/IFI30/IRF1/EIF2AK2/TRIM26/ADAR/BST2/PML/IFNB1/IRF7/IRF2/UBA7/ISG15/JAK2/MX1/AAAS/ISG20/TRIM22/IFNGR2/CAMK2D/NUP210/NUP43/TRIM6/GBP7/NUP155/GBP2/IFNA13/TRIM25/SOCS1/NUP188/IFNGR1/RNASEL/HLA-DQB2/NUP42",73
"R-HSA-877300","Interferon gamma signaling","38/1288","92/10616",1.33121766564591e-12,5.87510729771729e-10,4.9979049201443e-10,"OAS2/OASL/OAS1/OAS3/B2M/HLA-B/HLA-E/TRIM21/SP100/TRIM38/HLA-C/TRIM14/STAT1/HLA-F/HLA-A/GBP4/TRIM5/HLA-G/GBP3/GBP1/MT2A/IFI30/IRF1/TRIM26/PML/IRF7/IRF2/JAK2/TRIM22/IFNGR2/CAMK2D/TRIM6/GBP7/GBP2/TRIM25/SOCS1/IFNGR1/HLA-DQB2",38
"R-HSA-1236977","Endosomal/Vacuolar pathway","9/1288","11/10616",2.42966323376815e-07,6.43374824301806e-05,5.47313612659352e-05,"B2M/HLA-B/HLA-E/HLA-C/HLA-F/HLA-A/HLA-G/CTSS/LNPEP",9
"R-HSA-5661231","Metallothioneins bind metals","9/1288","11/10616",2.42966323376815e-07,6.43374824301806e-05,5.47313612659352e-05,"MT2A/MT1B/MT1G/MT1F/MT1M/MT1A/MT1H/MT1X/MT1E",9
"R-HSA-5660526","Response to metal ions","10/1288","14/10616",4.22056114181428e-07,9.31337158627019e-05,7.92280775744085e-05,"MT2A/MT1B/MT1G/MT1F/MT1M/MT1A/MT1H/MT1X/MT1E/CSRP1",10
"R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","13/1288","25/10616",1.47682309807305e-06,0.000279330540264102,0.000237624167659874,"B2M/HLA-B/HLA-E/TAP1/HLA-C/TAP2/HLA-F/HLA-A/HLA-G/ERAP1/TAPBP/ERAP2/SEC24D",13
"R-HSA-912446","Meiotic recombination","26/1288","85/10616",4.74982044575251e-06,0.000760415378143609,0.000646879038490747,"MSH4/H4C4/H4C5/H4C13/H3C11/H2AZ2/NBN/H2AC4/H4C8/H3-3B/H4C2/H4C3/MSH5/H2BC21/H3C1/H3C2/CDK4/H2AC14/H3C7/H2BC14/H2BC10/H2BC9/BRCA1/BRCA2/MRE11/ATM",26
"R-HSA-5688426","Deubiquitination","62/1288","291/10616",5.16898670943541e-06,0.000760415378143609,0.000646879038490747,"IFIH1/DDX58/USP18/TNFAIP3/PSME2/PSMB8/BIRC3/PSMB9/PSME1/TNIP1/ARRB1/H2AC12/CYLD/GATA3/H2AC21/TGFBR2/H2AC4/NFKBIA/PSMF1/MAVS/USP22/MDM2/ATXN7/KAT2B/BIRC2/H2BC21/BABAM1/PSMB10/TAF9B/DDB2/TGFBR1/TOMM20/USP15/RIPK1/PSMA5/PSMA3/H2AC14/PSMA6/RIPK2/ARRB2/TRIM25/H2AC11/CCNA2/STAMBPL1/H2BC14/TP53/PSMA4/H2BC10/YY1/USP12/USP42/TNKS2/BARD1/IDE/H2BC9/BRCA1/AXIN2/PSMA2/USP28/MAT2B/MYSM1/SMAD1",62
"R-HSA-5689880","Ub-specific processing proteases","49/1288","214/10616",6.51973699629874e-06,0.000863213178309954,0.000734328272214701,"IFIH1/DDX58/USP18/PSME2/PSMB8/BIRC3/PSMB9/PSME1/ARRB1/H2AC12/CYLD/GATA3/H2AC21/H2AC4/NFKBIA/PSMF1/USP22/MDM2/ATXN7/BIRC2/H2BC21/PSMB10/TAF9B/DDB2/TGFBR1/TOMM20/USP15/RIPK1/PSMA5/PSMA3/H2AC14/PSMA6/ARRB2/H2AC11/CCNA2/H2BC14/TP53/PSMA4/H2BC10/USP12/USP42/TNKS2/IDE/H2BC9/AXIN2/PSMA2/USP28/MAT2B/SMAD1",49
